date,carrier,airline name,flight_num,origin,dest,dep_time,actual_dep,delay,cancelled
7/31/2025,9e,endeavor air,4632,mdw,dtw,1309,1300,-9,0
7/31/2025,9e,endeavor air,4643,jan,atl,1535,1555,20,0
7/31/2025,9e,endeavor air,4654,orf,dtw,1259,1306,7,0
7/31/2025,9e,endeavor air,4803,tys,msp,1815,1809,-6,0
7/31/2025,9e,endeavor air,4813,cha,dtw,1509,1550,41,0
7/31/2025,9e,endeavor air,4823,iad,dtw,1300,1251,-9,0
7/31/2025,9e,endeavor air,4834,atl,evv,1220,1501,161,0
7/31/2025,9e,endeavor air,na,atl,hpn,1411,1404,-7,0
7/31/2025,9e,endeavor air,4891,orf,jfk,1728,na,na,1
7/31/2025,9e,endeavor air,4899,msp,cid,1016,1011,-5,0
7/31/2025,9e,endeavor air,4905,lga,stl,1329,1806,277,0
7/31/2025,9e,endeavor air,4910,atl,dhn,2054,49,235,0
7/31/2025,9e,endeavor air,4915,lga,dsm,1259,1325,26,0
7/31/2025,9e,endeavor air,4922,lga,stl,940,937,-3,0
7/31/2025,9e,endeavor air,4925,grb,dtw,1703,1656,-7,0
7/31/2025,9e,endeavor air,4930,hpn,atl,1029,1028,-1,0
7/31/2025,9e,endeavor air,4935,cha,atl,1352,1458,66,0
7/31/2025,9e,endeavor air,4941,cho,atl,548,542,-6,0
7/31/2025,9e,endeavor air,4947,lga,cmh,1150,1143,-7,0
7/31/2025,9e,endeavor air,4954,dtw,cle,1750,1758,8,0
7/31/2025,9e,endeavor air,4959,jax,jfk,700,706,6,0
